,label,lcs_results
0,0,64
1,0,67
2,0,64
3,0,73
4,0,64
5,0,69
6,0,62
7,0,59
8,0,64
9,0,65
10,0,68
11,0,60
12,0,70
13,0,58
14,0,63
15,0,65
16,0,58
17,0,60
18,0,59
19,0,59
20,0,66
21,0,63
22,0,67
23,0,63
24,0,68
25,0,67
26,0,62
27,0,59
28,0,59
29,0,61
30,0,59
31,0,65
32,0,65
33,0,67
34,0,61
35,0,69
36,0,72
37,0,69
38,0,66
39,0,60
40,0,63
41,0,63
42,0,70
43,0,64
44,0,70
45,0,58
46,0,67
47,0,67
48,0,61
49,0,59
50,0,61
51,0,63
52,0,67
53,0,62
54,0,65
55,0,61
56,0,70
57,0,65
58,0,72
59,0,61
60,0,59
61,0,56
62,0,64
63,0,63
64,0,64
65,0,67
66,0,71
67,0,69
68,0,64
69,0,64
70,0,68
71,0,71
72,0,57
73,0,59
74,0,61
75,0,61
76,0,60
77,0,60
78,0,64
79,0,62
80,0,66
81,0,62
82,0,70
83,0,65
84,0,59
85,0,63
86,0,66
87,0,63
88,0,54
89,0,70
90,0,58
91,0,61
92,0,64
93,0,58
94,0,57
95,0,59
96,0,55
97,0,65
98,0,63
99,0,60
100,0,64
101,0,64
102,0,65
103,0,59
104,0,70
105,0,65
106,0,71
107,0,66
108,0,60
109,0,63
110,0,66
111,0,60
112,0,64
113,0,59
114,0,71
115,0,57
116,0,57
117,0,61
118,0,65
119,0,60
120,0,58
121,0,55
122,0,61
123,0,58
124,0,66
125,0,61
126,0,61
127,0,65
128,0,60
129,0,65
130,0,59
131,0,63
132,0,64
133,0,70
134,0,63
135,0,56
136,0,63
137,0,62
138,0,61
139,0,55
140,0,67
141,0,59
142,0,60
143,0,61
144,0,59
145,0,58
146,0,60
147,0,55
148,0,63
149,0,60
150,0,61
151,0,66
152,0,75
153,0,63
154,0,74
155,0,64
156,0,70
157,0,62
158,0,66
159,0,65
160,0,69
161,0,70
162,0,58
163,0,60
164,0,57
165,0,57
166,0,60
167,0,60
168,0,66
169,0,65
170,0,60
171,0,64
172,0,61
173,0,74
174,0,63
175,0,71
176,0,63
177,0,59
178,0,63
179,0,67
180,0,63
181,0,57
182,0,70
183,0,57
184,0,61
185,0,64
186,0,57
187,0,56
188,0,55
189,0,60
190,0,55
191,0,65
192,0,63
193,0,59
194,0,64
195,0,63
196,0,58
197,0,70
198,0,65
199,0,72
200,0,65
201,0,58
202,0,63
203,0,60
204,0,62
205,0,60
206,0,69
207,0,58
