,label,lcs_results
0,0,60
1,0,64
2,0,67
3,0,67
4,0,60
5,0,56
6,0,66
7,0,66
8,0,63
9,0,57
10,0,56
11,0,62
12,0,68
13,0,66
14,0,63
15,0,71
16,0,60
17,0,64
18,0,67
19,0,56
20,0,68
21,0,65
22,0,60
23,0,73
24,0,64
25,0,65
26,0,70
27,0,56
28,0,61
29,0,73
30,0,56
31,0,68
32,0,61
33,0,68
34,0,60
35,0,67
36,0,60
37,0,66
38,0,67
39,0,72
40,0,65
41,0,73
42,0,56
43,0,62
44,0,68
45,0,56
46,0,62
47,0,68
48,0,68
49,0,66
50,0,71
51,0,62
52,0,56
53,0,62
54,0,68
55,0,60
56,0,65
57,0,68
58,0,63
59,0,57
60,0,56
61,0,62
62,0,68
63,0,67
64,0,60
65,0,74
66,0,61
67,0,58
68,0,60
69,0,62
70,0,71
71,0,64
72,0,63
73,0,70
74,0,61
75,0,64
76,0,71
77,0,56
78,0,66
79,0,69
80,0,53
81,0,72
82,0,56
83,0,73
84,0,67
85,0,60
86,0,74
87,0,55
88,0,73
89,0,60
90,0,62
91,0,71
92,0,66
93,0,63
94,0,71
95,0,66
96,0,63
97,0,71
98,0,60
99,0,66
100,0,67
101,0,64
102,0,55
103,0,70
104,0,64
105,0,63
106,0,72
107,0,64
108,0,71
109,0,56
110,0,68
111,0,66
112,0,63
113,0,54
114,0,71
115,0,66
116,0,59
117,0,73
118,0,60
119,0,62
120,0,71
121,0,64
122,0,65
123,0,70
124,0,56
125,0,68
126,0,57
127,0,60
128,0,66
129,0,67
130,0,56
131,0,62
132,0,68
133,0,74
134,0,61
135,0,64
136,0,71
137,0,60
138,0,60
139,0,72
140,0,56
141,0,62
142,0,68
143,0,65
144,0,64
145,0,73
146,0,56
147,0,62
148,0,68
149,0,56
150,0,62
151,0,68
152,0,56
153,0,66
154,0,69
155,0,60
156,0,67
157,0,61
158,0,64
159,0,58
160,0,71
161,0,56
162,0,66
163,0,69
164,0,56
165,0,66
166,0,69
167,0,60
168,0,60
169,0,67
170,0,58
171,0,67
172,0,60
173,0,74
174,0,65
175,0,63
176,0,73
177,0,56
178,0,61
179,0,73
180,1,57
181,1,56
182,1,58
183,1,66
184,1,58
185,1,64
186,1,59
187,1,55
188,1,56
189,1,56
190,1,58
191,1,55
192,1,58
193,1,64
194,1,58
195,1,58
196,1,57
197,1,58
198,1,64
199,1,58
200,1,58
201,1,58
202,1,57
203,1,70
204,1,56
205,1,59
206,1,56
207,1,69
208,1,56
209,1,57
210,1,59
211,1,56
212,1,56
213,1,56
214,1,57
215,1,59
216,1,58
217,1,57
218,1,70
219,1,59
220,1,58
221,1,57
222,1,58
223,1,58
224,1,57
225,1,56
226,1,58
227,1,55
228,1,56
229,1,56
230,1,56
231,2,62
232,2,64
233,2,64
234,2,63
235,2,63
236,2,65
237,2,64
238,2,64
239,2,65
240,2,63
241,2,65
242,2,63
243,2,65
244,2,63
245,2,63
246,2,61
247,2,63
248,2,61
249,2,64
250,2,61
251,2,64
252,2,63
253,2,62
254,2,62
255,2,62
256,2,61
257,2,61
258,2,65
259,2,65
260,2,65
261,2,61
262,2,64
263,2,61
264,2,63
265,2,64
266,2,62
267,2,63
268,2,63
269,2,64
270,2,62
271,2,63
272,2,63
273,2,64
274,2,62
275,2,63
276,2,64
277,2,66
278,2,62
279,2,65
280,2,63
281,2,63
282,2,61
283,2,61
284,2,62
285,2,64
286,2,61
287,2,61
288,2,64
289,2,62
290,2,63
291,2,61
292,2,61
293,2,63
294,2,61
295,2,65
296,2,61
297,2,62
298,2,64
299,2,63
300,2,64
301,2,62
302,2,62
303,2,63
304,2,62
305,2,62
306,2,64
307,2,61
308,2,64
309,2,62
310,2,61
311,2,63
312,2,65
313,2,63
314,2,62
315,2,67
316,2,64
317,2,62
318,2,63
319,2,64
320,2,63
321,2,61
322,2,64
323,2,64
324,2,63
325,2,63
326,2,65
327,2,63
328,2,63
329,2,61
330,2,65
331,2,63
332,2,61
333,3,71
334,3,52
335,3,62
336,3,62
337,3,65
338,3,60
339,3,61
340,3,61
341,3,58
342,3,61
343,3,60
344,3,53
345,3,60
346,3,62
347,3,66
348,3,60
349,3,66
350,3,60
351,3,60
352,3,62
353,3,63
354,3,59
355,3,66
356,3,59
357,3,60
358,3,68
359,3,69
360,3,66
361,3,61
362,3,63
363,3,65
364,3,68
365,3,65
366,3,60
367,3,62
368,3,63
369,3,69
370,3,69
371,3,63
372,3,61
373,3,61
374,3,63
375,3,69
376,3,69
377,3,63
378,3,61
379,3,61
380,3,58
381,3,63
382,3,64
383,3,59
384,3,63
385,3,60
386,3,57
387,3,66
388,3,65
389,3,60
390,3,57
391,3,63
392,3,64
393,3,59
394,3,63
395,3,60
396,3,57
397,3,63
398,3,66
399,3,68
400,3,64
401,3,61
402,3,62
403,3,63
404,3,64
405,3,59
406,3,63
407,3,60
408,3,57
409,3,64
410,3,68
411,3,69
412,3,66
413,3,59
414,3,61
415,3,62
416,3,63
417,3,59
418,3,66
419,3,59
420,3,60
421,3,69
422,3,63
423,3,61
424,3,63
425,3,64
426,3,59
427,3,63
428,3,60
429,3,57
430,3,62
431,3,65
432,3,60
433,3,65
434,3,61
435,3,60
436,3,62
437,3,64
438,3,62
439,3,62
440,3,60
441,3,58
442,3,66
443,3,53
444,3,62
445,3,66
446,3,60
447,3,66
448,3,60
449,3,60
450,3,62
451,3,66
452,3,60
453,3,66
454,3,60
455,3,60
456,3,63
457,3,62
458,3,65
459,3,60
460,3,61
461,3,61
462,3,58
463,3,53
464,3,62
465,3,63
466,3,59
467,3,66
468,3,59
469,3,60
470,3,57
471,3,60
472,3,55
473,3,65
474,3,71
475,3,71
476,3,63
477,3,62
478,3,62
479,3,63
480,3,64
481,3,59
482,3,63
483,3,60
484,3,57
485,3,62
486,3,65
487,3,60
488,3,61
489,3,61
490,3,58
491,3,56
492,3,69
493,3,63
494,3,56
495,3,58
496,3,63
497,3,65
498,3,68
499,3,65
500,3,60
501,3,62
502,3,62
503,3,66
504,3,60
505,3,66
506,3,60
507,3,60
508,3,65
509,3,68
510,3,65
511,3,60
512,3,62
513,3,62
514,3,63
515,3,59
516,3,66
517,3,59
518,3,60
519,3,65
520,3,70
521,3,64
522,3,62
523,3,62
524,3,63
525,3,63
526,3,59
527,3,63
528,3,58
529,3,57
530,3,64
531,3,68
532,3,69
533,3,66
534,3,59
535,3,61
536,3,59
537,3,64
538,3,59
539,3,63
540,3,57
541,3,62
542,3,65
543,3,61
544,3,61
545,3,58
546,3,63
547,3,63
548,3,59
549,3,63
550,3,58
551,3,57
552,3,63
553,3,64
554,3,59
555,3,63
556,3,60
557,3,57
558,3,63
559,3,59
560,3,63
561,3,55
562,3,57
563,3,63
564,3,55
565,3,59
566,3,60
567,3,66
568,3,52
569,3,65
570,3,70
571,3,71
572,3,64
573,3,62
574,3,62
575,3,54
576,3,52
577,3,62
578,3,66
579,3,60
580,3,66
581,3,60
582,3,60
583,3,58
584,3,66
585,3,57
586,3,62
587,3,67
588,3,68
589,3,62
590,3,61
591,3,62
592,3,60
593,3,65
594,3,62
595,3,65
596,3,60
597,3,61
598,3,61
599,3,58
600,3,63
601,3,64
602,3,59
603,3,63
604,3,60
605,3,57
606,3,62
607,3,65
608,3,60
609,3,61
610,3,61
611,3,58
612,3,63
613,3,69
614,3,69
615,3,63
616,3,61
617,3,61
618,3,59
619,3,63
620,3,55
621,3,65
622,3,71
623,3,71
624,3,63
625,3,62
626,3,62
627,3,63
628,3,63
629,3,59
630,3,63
631,3,58
632,3,57
633,3,63
634,3,68
635,3,66
636,3,65
637,3,59
638,3,59
639,3,62
640,3,64
641,3,62
642,3,62
643,3,60
644,3,58
645,3,64
646,3,68
647,3,69
648,3,66
649,3,59
650,3,61
651,3,63
652,3,66
653,3,68
654,3,64
655,3,61
656,3,62
657,3,62
658,3,65
659,3,61
660,3,61
661,3,58
662,3,58
663,3,63
664,3,68
665,3,66
666,3,62
667,3,58
668,3,57
669,3,65
670,3,71
671,3,71
672,3,63
673,3,62
674,3,62
675,3,69
676,3,63
677,3,63
678,3,63
679,3,59
680,3,63
681,3,58
682,3,57
683,3,62
684,3,65
685,3,60
686,3,61
687,3,61
688,3,58
689,3,60
690,3,55
691,3,58
692,3,63
693,3,68
694,3,66
695,3,64
696,3,58
697,3,57
698,3,62
699,3,65
700,3,60
701,3,61
702,3,55
703,3,61
704,3,58
705,3,62
706,3,65
707,3,65
708,3,61
709,3,60
710,3,58
711,3,62
712,3,63
713,3,59
714,3,66
715,3,59
716,3,60
717,3,65
718,3,60
719,3,65
720,3,60
721,3,64
722,3,59
723,3,63
724,3,55
725,3,57
726,3,62
727,3,64
728,3,62
729,3,62
730,3,60
731,3,58
732,3,62
733,3,63
734,3,59
735,3,66
736,3,59
737,3,60
738,3,65
739,3,62
740,3,66
741,3,60
742,3,66
743,3,60
744,3,60
745,3,57
746,3,62
747,3,63
748,3,59
749,3,66
750,3,52
751,3,59
752,3,60
753,3,62
754,3,65
755,3,60
756,3,65
757,3,61
758,3,60
759,3,59
760,3,66
761,3,60
762,3,62
763,3,64
764,3,62
765,3,62
766,3,60
767,3,58
768,3,63
769,3,69
770,3,69
771,3,63
772,3,61
773,3,61
774,3,65
775,3,70
776,3,65
777,3,61
778,3,62
779,3,63
780,3,64
781,3,59
782,3,63
783,3,60
784,3,57
785,3,64
786,3,69
787,3,66
788,3,63
789,3,60
790,3,57
791,3,64
792,3,59
793,3,55
794,3,57
795,3,62
796,3,53
797,3,63
798,3,65
799,3,68
800,3,65
801,3,60
802,3,62
803,3,62
804,3,65
805,3,60
806,3,61
807,3,61
808,3,58
809,3,63
810,3,68
811,3,66
812,3,65
813,3,59
814,3,59
815,3,63
816,3,64
817,3,59
818,3,63
819,3,60
820,3,57
821,3,59
822,3,69
823,3,66
824,3,55
825,3,62
826,3,65
827,3,60
828,3,61
829,3,61
830,3,58
831,3,65
832,3,68
833,3,65
834,3,60
835,3,62
836,3,63
837,3,64
838,3,59
839,3,63
840,3,60
841,3,57
842,3,63
843,3,63
844,3,59
845,3,63
846,3,58
847,3,57
848,3,62
849,3,63
850,3,59
851,3,66
852,3,59
853,3,60
854,3,65
855,3,63
856,3,59
857,3,57
858,3,55
859,3,64
860,3,62
861,3,62
862,3,53
863,3,58
864,3,69
865,3,69
866,3,63
867,3,61
868,3,63
869,3,64
870,3,59
871,3,63
872,3,60
873,3,57
874,3,62
875,3,66
876,3,63
877,3,61
878,3,61
879,3,59
880,3,62
881,3,66
882,3,60
883,3,66
884,3,60
885,3,60
886,3,63
887,3,64
888,3,59
889,3,63
890,3,55
891,3,60
892,3,57
893,3,62
894,3,68
895,3,69
896,3,63
897,3,59
898,3,61
899,3,63
900,3,64
901,3,59
902,3,63
903,3,60
904,3,57
905,3,62
906,3,67
907,3,68
908,3,62
909,3,61
910,3,62
911,3,63
912,3,63
913,3,68
914,3,66
915,3,64
916,3,58
917,3,57
918,3,62
919,3,67
920,3,62
921,3,61
922,3,62
923,3,63
924,3,68
925,3,66
926,3,62
927,3,58
928,3,57
929,3,65
930,3,70
931,3,71
932,3,64
933,3,62
934,3,62
935,3,62
936,3,65
937,3,60
938,3,61
939,3,61
940,3,58
941,3,62
942,3,68
943,3,69
944,3,63
945,3,59
946,3,61
947,3,63
948,3,64
949,3,59
950,3,63
951,3,60
952,3,57
953,3,62
954,3,63
955,3,59
956,3,66
957,3,59
958,3,60
959,3,63
960,3,64
961,3,59
962,3,63
963,3,60
964,3,57
965,3,63
966,3,59
967,3,66
968,3,60
969,3,63
970,3,64
971,3,63
972,3,60
973,3,57
974,4,63
975,4,69
976,4,57
977,4,58
978,4,57
979,4,60
980,4,63
981,4,58
982,4,62
983,4,52
984,4,57
985,4,63
986,4,61
987,4,60
988,4,71
989,4,58
990,4,56
991,4,67
992,4,56
993,4,60
994,4,63
995,4,62
996,4,63
997,4,58
998,4,63
999,4,62
1000,4,57
1001,4,63
1002,4,61
1003,4,57
1004,4,58
1005,4,63
1006,4,62
1007,4,57
1008,4,63
1009,4,53
1010,4,61
1011,4,57
1012,4,63
1013,4,61
1014,4,59
1015,4,63
1016,4,62
1017,4,60
1018,4,63
1019,4,62
1020,4,60
1021,4,63
1022,4,62
1023,4,60
1024,4,71
1025,4,58
1026,4,58
1027,4,63
1028,4,62
1029,4,60
1030,4,63
1031,4,62
1032,4,60
1033,4,63
1034,4,63
1035,4,56
1036,4,70
1037,4,59
1038,4,56
1039,4,72
1040,4,58
1041,4,58
1042,4,63
1043,4,62
1044,4,60
1045,4,63
1046,4,62
1047,4,60
1048,4,63
1049,4,62
1050,4,55
1051,4,61
1052,4,58
1053,4,63
1054,4,52
1055,4,62
1056,4,56
1057,4,72
1058,4,58
1059,4,60
1060,4,73
1061,4,60
1062,4,57
1063,4,63
1064,4,61
1065,4,59
1066,4,63
1067,4,62
1068,4,62
1069,4,58
1070,4,63
1071,4,62
1072,4,63
1073,4,69
1074,4,59
1075,4,55
1076,4,64
1077,4,57
1078,4,63
1079,4,61
1080,4,56
1081,4,70
1082,4,59
1083,4,62
1084,4,62
1085,4,63
1086,4,69
1087,4,58
1088,4,57
1089,4,63
1090,4,61
1091,4,70
1092,4,63
1093,4,63
1094,4,56
1095,4,66
1096,4,65
1097,4,56
1098,4,72
1099,4,61
1100,4,58
1101,4,60
1102,4,63
1103,4,63
1104,4,60
1105,4,62
1106,4,57
1107,4,63
1108,4,61
1109,4,60
1110,4,63
1111,4,57
1112,4,63
1113,4,52
1114,4,56
1115,4,68
1116,4,61
1117,4,66
1118,4,57
1119,4,70
1120,4,60
1121,4,58
1122,4,63
1123,4,62
1124,4,57
1125,4,63
1126,4,61
1127,4,57
1128,4,63
1129,4,61
1130,4,58
1131,4,63
1132,4,52
1133,4,59
1134,4,63
1135,4,62
1136,4,56
1137,4,66
1138,4,55
1139,4,65
1140,4,58
1141,4,63
1142,4,62
1143,4,58
1144,4,63
1145,4,62
1146,4,57
1147,4,63
1148,4,61
1149,4,60
1150,4,63
1151,4,57
1152,4,63
1153,4,55
1154,4,66
1155,4,55
1156,4,64
1157,4,64
1158,4,60
1159,4,63
1160,4,62
1161,4,62
1162,4,58
1163,4,58
1164,4,63
1165,4,52
1166,4,62
1167,4,57
1168,4,63
1169,4,61
1170,4,58
1171,4,63
1172,4,62
1173,4,62
1174,4,60
1175,4,73
1176,4,60
1177,4,63
1178,4,69
1179,4,59
1180,4,56
1181,4,70
1182,4,59
1183,4,60
1184,4,71
1185,4,62
1186,4,58
1187,4,57
1188,4,63
1189,4,53
1190,4,58
1191,4,63
1192,4,62
1193,4,57
1194,4,63
1195,4,61
1196,4,56
1197,4,70
1198,4,59
1199,4,56
1200,4,66
1201,4,65
1202,4,55
1203,4,66
1204,4,64
1205,4,60
1206,4,63
1207,4,62
1208,4,62
1209,4,59
1210,4,63
1211,4,62
1212,4,57
1213,4,63
1214,4,61
1215,4,56
1216,4,72
1217,4,58
1218,4,56
1219,4,67
1220,4,64
1221,4,60
1222,4,63
1223,4,62
1224,4,56
1225,4,72
1226,4,58
1227,4,60
1228,4,63
1229,4,62
1230,4,57
1231,4,63
1232,4,61
1233,4,59
1234,4,71
1235,4,60
1236,4,60
1237,4,63
1238,4,58
1239,4,62
1240,4,56
1241,4,66
1242,4,55
1243,4,65
1244,4,56
1245,4,62
1246,4,69
1247,4,60
1248,4,59
1249,4,70
1250,4,59
1251,4,57
1252,4,63
1253,4,61
1254,4,56
1255,4,70
1256,4,63
1257,4,59
1258,4,59
1259,4,70
1260,4,59
1261,5,62
1262,5,59
1263,5,64
1264,5,66
1265,5,62
1266,5,64
1267,5,57
1268,5,57
1269,5,62
1270,5,65
1271,5,66
1272,5,62
1273,5,63
1274,5,57
1275,5,62
1276,5,59
1277,5,65
1278,5,61
1279,5,57
1280,5,62
1281,5,59
1282,5,64
1283,5,62
1284,5,59
1285,5,62
1286,5,64
1287,5,67
1288,5,65
1289,5,62
1290,5,63
1291,5,62
1292,5,58
1293,5,63
1294,5,60
1295,5,66
1296,5,66
1297,5,67
1298,5,56
1299,5,65
1300,5,62
1301,5,59
1302,5,60
1303,5,62
1304,5,64
1305,5,66
1306,5,60
1307,5,62
1308,5,62
1309,5,62
1310,5,66
1311,5,59
1312,5,66
1313,5,62
1314,5,62
1315,6,60
1316,6,64
1317,6,59
1318,6,72
1319,6,66
1320,6,61
1321,6,65
1322,6,61
1323,6,58
1324,6,65
1325,6,60
1326,6,71
1327,6,61
1328,6,64
1329,6,60
1330,6,65
1331,6,57
1332,6,67
1333,6,66
1334,6,62
1335,6,62
1336,6,64
1337,6,61
1338,6,65
1339,6,59
1340,6,72
1341,6,62
1342,6,64
1343,6,63
1344,6,63
1345,6,62
1346,6,63
1347,6,60
1348,6,72
1349,6,61
1350,6,64
1351,6,60
1352,6,65
1353,6,61
1354,6,60
1355,6,64
1356,6,72
1357,6,61
1358,6,64
1359,6,60
1360,6,65
1361,6,64
1362,6,60
1363,6,65
1364,6,64
1365,6,63
1366,6,61
1367,6,63
1368,6,56
1369,6,67
1370,6,65
1371,6,61
1372,6,65
1373,6,59
1374,6,63
1375,6,61
1376,6,63
1377,6,57
1378,6,66
1379,6,61
1380,6,71
1381,6,61
1382,6,64
1383,6,60
1384,6,65
1385,6,65
1386,6,61
1387,6,66
1388,6,60
1389,6,65
1390,6,61
1391,6,58
1392,6,57
1393,6,61
1394,6,66
1395,6,60
1396,6,65
1397,6,63
1398,6,61
1399,6,63
1400,6,58
1401,6,65
1402,6,60
1403,6,71
1404,6,58
1405,6,66
1406,6,59
1407,6,71
1408,6,64
1409,6,63
1410,6,61
1411,6,63
1412,6,66
1413,6,61
1414,6,71
1415,6,61
1416,6,66
1417,6,60
1418,6,65
1419,6,61
1420,6,65
1421,6,59
1422,6,72
1423,6,62
1424,6,63
1425,6,60
1426,6,72
1427,6,62
1428,6,63
1429,6,60
1430,6,72
1431,6,65
1432,6,59
1433,6,72
1434,6,67
1435,6,61
1436,6,73
1437,6,61
1438,6,64
1439,6,60
1440,6,65
1441,6,59
1442,6,65
1443,6,71
1444,6,64
1445,6,61
1446,6,63
1447,6,69
1448,6,64
1449,6,60
1450,6,65
1451,6,56
1452,6,67
1453,6,60
1454,6,65
1455,6,56
1456,6,66
1457,6,59
1458,6,71
1459,6,61
1460,6,66
1461,6,60
1462,6,65
1463,6,66
1464,6,58
1465,6,71
1466,6,57
1467,6,57
1468,6,67
1469,6,66
1470,6,61
1471,6,66
1472,6,58
1473,6,71
1474,6,66
1475,6,61
1476,6,65
1477,6,65
1478,6,60
1479,6,71
1480,6,60
1481,6,64
1482,6,72
1483,6,62
1484,6,62
1485,6,64
1486,6,61
1487,6,65
1488,6,59
1489,6,72
1490,6,62
1491,6,63
1492,6,60
1493,6,72
1494,6,61
1495,6,65
1496,6,72
1497,6,64
1498,6,63
1499,6,61
1500,6,63
1501,6,59
1502,6,65
1503,6,59
1504,6,71
1505,6,61
1506,6,66
1507,6,65
1508,6,63
1509,6,63
1510,6,60
1511,6,72
1512,6,61
1513,6,66
1514,6,58
1515,6,71
1516,6,61
1517,6,61
1518,6,58
1519,6,65
1520,6,60
1521,6,71
1522,6,64
1523,6,60
1524,6,65
1525,6,60
1526,6,64
1527,6,59
1528,6,72
1529,6,61
1530,6,65
1531,6,58
1532,6,60
1533,6,62
1534,6,63
1535,6,72
1536,6,61
1537,6,65
1538,6,59
1539,6,72
1540,6,57
1541,6,63
1542,6,60
1543,6,72
1544,6,64
1545,6,61
1546,6,63
1547,6,62
1548,6,62
1549,6,64
1550,6,61
1551,6,64
1552,6,60
1553,6,65
1554,6,61
1555,6,66
1556,6,61
1557,6,66
1558,6,58
1559,6,71
1560,6,65
1561,6,60
1562,6,71
1563,6,67
1564,6,62
1565,6,62
1566,6,62
1567,6,64
1568,6,65
1569,6,59
1570,6,72
1571,6,64
1572,6,59
1573,6,60
1574,6,62
1575,6,63
1576,6,60
1577,6,72
1578,6,59
1579,6,65
1580,6,59
1581,6,71
1582,6,58
1583,6,67
1584,6,59
1585,6,65
1586,6,64
1587,6,63
1588,6,61
1589,6,63
1590,6,65
1591,6,59
1592,6,72
1593,6,62
1594,6,62
1595,6,64
1596,6,58
1597,6,64
1598,6,63
1599,6,61
1600,6,63
1601,6,64
1602,6,63
1603,6,61
1604,6,63
1605,6,62
1606,6,60
1607,6,64
1608,6,60
1609,6,64
1610,6,58
1611,6,62
1612,6,61
1613,6,65
1614,6,57
1615,6,67
1616,6,66
1617,6,64
1618,6,59
1619,6,72
1620,6,60
1621,6,64
1622,6,59
1623,6,72
1624,6,61
1625,6,61
1626,6,65
1627,6,72
1628,6,62
1629,6,62
1630,6,64
1631,6,62
1632,6,62
1633,6,64
1634,6,66
1635,6,61
1636,6,65
1637,6,67
1638,6,61
1639,6,73
1640,6,57
1641,6,69
1642,6,67
1643,6,66
1644,6,58
1645,6,65
1646,6,60
1647,6,71
1648,6,60
1649,6,64
1650,6,59
1651,6,72
1652,6,64
1653,6,59
1654,6,72
